Sample_Code;Station;Island;Sampling_Site;Island_Side;Genus;Species;Species_Code;Sample_Year;Zone;Habitat;Inhabitated;Distance_Makassar_km;N;Depth_m;Relative_Depth;Substrate
BaBaW2;BBW;Barangbaringan;BN1;West;Amphistegina;lessonii;Amphistegina_lessonii;1997;1;slope;no;11;20;2;0.25;RA
BaBaW2;BBW;Barangbaringan;BN1;West;Amphistegina;lobifera;Amphistegina_lobifera;1997;1;slope;no;11;140;2;0.25;RA
BaBaW2;BBW;Barangbaringan;BN1;West;Amphistegina;radiata;Amphistegina_radiata;1997;1;slope;no;11;15;2;0.25;RA
BaBaW2;BBW;Barangbaringan;BN1;West;Calcarina;sp2;Calcarina_sp2;1997;1;slope;no;11;35;2;0.25;RA
BaBaW3;BBW;Barangbaringan;BN1;West;Amphistegina;lessonii;Amphistegina_lessonii;1997;1;slope;no;11;35;3;0.375;RA
BaBaW3;BBW;Barangbaringan;BN1;West;Amphistegina;lobifera;Amphistegina_lobifera;1997;1;slope;no;11;158;3;0.375;RA
BaBaW3;BBW;Barangbaringan;BN1;West;Amphistegina;radiata;Amphistegina_radiata;1997;1;slope;no;11;120;3;0.375;RA
BaBaW3;BBW;Barangbaringan;BN1;West;Calcarina;sp2;Calcarina_sp2;1997;1;slope;no;11;11;3;0.375;RA
BaBaW3;BBW;Barangbaringan;BN1;West;Calcarina;spengleri;Calcarina_spengleri;1997;1;slope;no;11;90;3;0.375;RA
BaBaW3;BBW;Barangbaringan;BN1;West;Heterostegina;depressa;Heterostegina_depressa;1997;1;slope;no;11;30;3;0.375;RA
BaBaW6;BBW;Barangbaringan;BN1;West;Amphistegina;lessonii;Amphistegina_lessonii;1997;1;slope;no;11;90;6;0.75;RA
BaBaW6;BBW;Barangbaringan;BN1;West;Amphistegina;lobifera;Amphistegina_lobifera;1997;1;slope;no;11;3;6;0.75;RA
